"Carimbo de data/hora","De 1 a 5, o quanto se identificar com uma causa social te motiva a doar?","De 1 a 5, o quanto sua religião/devoção te motiva a ser solidário com uma causa?","De 1 a 5, o quanto estar próximo ou acompanhar pessoas realizando doações te incentiva a ter atividade filantrópicas? (Filantropia: ato de ajudar o próximo, por meio de várias atitudes altruístas e solidárias).","De 1 a 5, o quanto já é um hábito em sua família/grupo de realizar doações?","De 1 a 5, o quanto a transparência em uma organização social de motiva a contribuir com ela?","De 1 a 5, o quanto acompanhar as ações realizadas por um instituto te faz doar para ele?","De 1 a 5, o quanto ter uma forma fácil e segura de realizar as doações te incentiva a doar?","De 1 a 5, quanto o sentimento de compaixão te leva a doar?","De 1 a 5, com qual frequência você realiza doações?"
"2022/11/10 11:20:35 AM GMT-3","5","2","3","2","5","4","4","3","2"
"2022/11/10 11:31:14 AM GMT-3","5","1","3","2","5","4","4","3","2"
"2022/11/11 10:57:27 AM GMT-3","3","2","4","4","4","2","4","4","4"
"2022/11/11 10:57:39 AM GMT-3","5","5","5","4","5","2","5","3","1"
"2022/11/11 2:42:34 PM GMT-3","5","2","5","5","5","1","2","5","4"
"2022/11/11 2:50:16 PM GMT-3","2","1","4","5","5","4","4","3","4"
"2022/11/11 3:11:17 PM GMT-3","5","3","5","5","5","5","5","4","3"
"2022/11/11 3:17:09 PM GMT-3","5","3","4","2","5","4","5","4","1"
"2022/11/11 3:19:46 PM GMT-3","5","2","1","5","5","4","5","5","5"
"2022/11/11 3:23:33 PM GMT-3","5","4","5","5","4","5","4","5","4"
"2022/11/11 3:23:49 PM GMT-3","5","1","5","5","5","5","5","5","4"
"2022/11/11 3:24:07 PM GMT-3","5","5","5","3","5","3","5","5","3"
"2022/11/11 3:25:25 PM GMT-3","5","5","5","5","5","5","5","5","2"
"2022/11/11 3:34:38 PM GMT-3","5","1","5","5","5","5","5","5","5"
"2022/11/11 3:47:21 PM GMT-3","5","3","5","1","5","5","5","5","2"
"2022/11/11 3:48:36 PM GMT-3","3","3","1","4","1","3","5","5","1"
"2022/11/11 3:53:31 PM GMT-3","5","5","5","5","5","5","5","5","4"
"2022/11/11 4:02:44 PM GMT-3","4","1","5","3","5","5","5","5","2"
"2022/11/11 4:35:14 PM GMT-3","5","1","4","4","5","4","5","5","3"
"2022/11/11 5:13:48 PM GMT-3","5","5","3","3","5","5","5","5","2"
"2022/11/11 5:17:07 PM GMT-3","5","4","5","3","3","3","5","5","2"
"2022/11/11 5:18:53 PM GMT-3","5","3","2","1","2","2","4","5","1"
"2022/11/11 5:19:11 PM GMT-3","4","3","2","3","5","2","4","2","3"
"2022/11/11 5:19:20 PM GMT-3","4","4","5","5","5","4","5","4","2"
"2022/11/11 5:19:52 PM GMT-3","4","5","5","5","5","5","5","5","4"
"2022/11/11 5:24:41 PM GMT-3","5","3","3","2","5","5","4","5","1"
"2022/11/11 5:25:06 PM GMT-3","5","5","4","2","3","1","1","3","3"
"2022/11/11 5:32:00 PM GMT-3","1","5","5","1","5","5","5","5","2"
"2022/11/11 5:34:06 PM GMT-3","4","4","3","5","5","4","5","4","3"
"2022/11/11 6:04:35 PM GMT-3","5","5","5","4","5","4","5","5","4"
"2022/11/11 6:11:58 PM GMT-3","5","5","5","3","5","5","5","5","1"
"2022/11/11 6:16:58 PM GMT-3","4","4","4","3","4","3","2","4","3"
"2022/11/11 6:17:33 PM GMT-3","5","1","3","3","5","4","5","3","3"
